Data de publicação;Afirmação checada;Organização;Tipo de informação;Tema;Objeto;Formato;Origem;Fonte
28/02/2020;É #FAKE que vídeo mostre crianças deitadas no chão com dor por causa do coronavírus na China;Fato ou Fake;;Outros;Indefinido;Vídeo;Redes Sociais;TikTok
28/02/2020;É #FAKE que vídeo mostre telhado cheio de morcegos fonte do coronavírus na China;Fato ou Fake;;Outros;Indefinido;Vídeo;Redes Sociais;
29/02/2020;Papa Francisco foi diagnosticado com coronavírus.;Estadão Verifica;Outros;Outros;Indefinido;Texto;Redes sociais;Facebook
29/02/2020;Bombeiro alerta que coronavírus se espalhou em Minas Gerais e hospital será construído #boato;Boatos.org;;Outros;Contágio;Áudio;Whatsapp;
01/03/2020;Laila Ahmadi e Chen Horin recomendam limão e vitamina C contra o coronavírus #boato;Boatos.org;;Saúde;Cura;Texto;Web;
01/03/2020;Diretor do hospital São José de Fortaleza alerta que todos devem estocar comida por causa do coronavírus #boato;Boatos.org;;Outros;Indefinido;Áudio;Whatsapp;
02/03/2020;Toyota processa vigilante que confundiu coronavírus com Corolla vírus #boato;Boatos.org;;Justiça;Indefinido;Vídeo;Web;
03/03/2020;Os Simpsons previram o surto de coronavírus.;Agência Lupa;Teoria da conspiração;Outros;Contágio;Imagem;Redes sociais;Facebook
03/03/2020;O vinagre é mais eficaz que os desinfetantes para as mãos à base de álcool para matar o novo coronavírus.;Agência Lupa;Curas;Outros;Contágio;Vídeo;WhatsApp, Redes sociais;WhatsApp, Facebook
03/03/2020;Um bordel na Espanha está em quarentena.;Estadão Verifica;Outros;Outros;Isolamento Social;Texto;Redes sociais;Twitter, Facebook post
03/03/2020;Manifestação de 15 de março foi criada para disseminar coronavírus entre apoiadores de Bolsonaro #boato;Boatos.org;;Outros;Contágio;Texto;Facebook;
04/03/2020;"O Banco Mundial classificou o Brasil como o ""melhor país em combate ao COVID-19""";Aos Fatos;Autoridades;Economia;Cura;Texto;Meio de comunicação;Website
04/03/2020;A vitamina C e a água morna com limão podem prevenir o COVID-19.;Agência Lupa;Curas;Outros;Contágio;Texto;WhatsApp, Redes sociais;WhatsApp, Facebook
04/03/2020;Asterix previu a chegada do coronavírus em livro de 1981 #boato;Boatos.org;;Cultura;Indefinido;Imagem, Texto;Redes Sociais;
05/03/2020;Teste para o coronavírus custa US $ 3.000 nos Estados Unidos.;Estadão Verifica;Outros;Saúde;Teste;Texto;Redes Sociais;Facebook
05/03/2020;Coronavírus é transmissível através do vinho da Itália #boato;Boatos.org;;Saúde;Contágio;Texto;Redes Sociais;
06/03/2020;Desinfetante para as mãos à base de álcool pode influenciar os resultados em um teste do bafômetro.;Agência Lupa;Outros;Saúde;Álcool ;Vídeo;Redes Sociais;Cesar Urnhani, journalist and YouTuber
06/03/2020;É #FAKE que governo americano fez recomendação para as pessoas rasparem barba ou bigode por uso eficiente de máscaras contra o coronavírus;Fato ou Fake;;Política;Máscara;Imagem;Redes Sociais;Twitter
10/03/2020;Paciente infectado com coronavírus foi morto por traficantes.;Estadão Verifica;Outros;Segurança;Mortes;Texto, Imagem;Redes sociais;Facebook
10/03/2020;Unicef faz recomendações sobre coronavírus e diz que a célula é “maior do que o normal” #boato;Boatos.org;;Social;Indefinido;Texto;Web;
10/03/2020;China compra 30% de empresas do ocidente em operação Xeque-mate do coronavírus #boato;Boatos.org;;Economia;Indefinido;Texto;Redes Sociais;
11/03/2020;Médico diz que o coronavírus não mata nem causa o resfriado comum.;Estadão Verifica;Sintomas;Saúde;Indefinido;Vídeo;YouTube;YouTube
12/03/2020;3.500 italianos potencialmente infectados com o novo coronavírus chegaram ao Brasil em um navio de cruzeiro;Aos Fatos;Contágio;Outros;Contágio;Imagem;Redes Sociais;Facebook
12/03/2020;Governo brasileiro liberou dinheiro adicional para os beneficiários do Bolsa Família;Aos Fatos;Autoridades;Social;Indefinido;Texto;WhatsApp;WhatsApp
12/03/2020;Beber chá e água quente mata o coronavírus. Fatias de limão em água morna podem salvar sua vida. É recomendável guardar dinheiro em um saco plástico selado. Teoria da conspiração sugere que a China está se beneficiando da pandemia. Vinagre é bom para limpar as mãos.;Estadão Verifica;Curas;Saúde;Cura;Texto;Whatsapp;WhatsApp
12/03/2020;Cuba desenvolveu uma vacina contra o coronavírus.;Estadão Verifica;Curas;Saúde;Vacina;Texto;Redes sociais;Facebook
12/03/2020;É #FAKE mensagem sobre coronavírus atribuída ao hospital de Stanford;Fato ou Fake;;Outros;Indefinido;Texto;Redes Sociais;Whatsapp
13/03/2020;Dr. Patrick Martin e Dra. Lidia Rota Vender publicam dicas sobre o novo coronavírus #boato;Boatos.org;;Saúde;Indefinido;Texto;Web;
13/03/2020;Pessoas no Canadá são informadas sobre o coronavírus com teste da respiração #boato;Boatos.org;;Saúde;Teste;Texto;Web;
14/03/2020;Supermercado Guanabara vai fechar de 16/03 a 20/03 por causa do coronavírus #boato;Boatos.org;;Economia;Isolamento Social;Texto;Redes Sociais;
14/03/2020;O coronavírus não é um vírus letal, não mata ninguém e nunca matará #boato;Boatos.org;;Saúde;Indefinido;Texto, Vídeo;Redes Sociais;
15/03/2020;China se beneficiou financeiramente do novo coronavírus;Aos Fatos;Teoria da conspiração;Economia;Indefinido;Imagem;Redes Sociais;Facebook
15/03/2020;É #FAKE imagem que mostra anúncio de fechamento de supermercados no Rio;Fato ou Fake;;Outros;Indefinido;Imagem, Texto;Redes Sociais;
15/03/2020;Álcool gel caseiro feito com gelatina protege contra o novo coronavírus #boato;Boatos.org;;Outros;Álcool em gel;Texto;Web;
15/03/2020;Cristiano Ronaldo vai transformar hotel em hospital para tratar pacientes com coronavírus #boato;Boatos.org;;Outros;Tratamento;Texto;Web;
16/03/2020;Beber água e fazer gargarejos com sal ou vinagre não impedem infecção por coronavírus;Aos Fatos;Curas;Saúde;Contágio;Imagem, Texto;Redes Sociais;Facebook
16/03/2020;Israel encontrou cura e vacina para o coronavírus;Aos Fatos;Curas;Saúde;Vacina;Vídeo;YouTube;Canal Pátria Amada PE (YouTube), Facebook
16/03/2020;Você pode autodiagnosticar o COVID-19 prendendo a respiração por 10 segundos e evitar o COVID-19 bebendo água constantemente. COVID-19 causa fibrose nos pulmões.;Agência Lupa;Curas;Saúde;Contágio;Texto;WhatsApp, Redes sociais;Facebook, WhatsApp
16/03/2020;A empresa brasileira de bebidas Ambev interrompe a produção de cerveja.;Estadão Verifica;Outros;Economia;Indefinido;Texto;Redes Sociais;Twitter and Facebook posts
16/03/2020;Decretado “feriado nacional” de sete dias no Brasil;Estadão Verifica;Medidas;Política;Indefinido;Texto;Whatsapp;Whatsapp
16/03/2020;Postagens de uma profecia de Nostradamus sobre a pandemia;Estadão Verifica;Previsão;Outros;Indefinido;Texto;Redes sociais;Facebook
16/03/2020;É #FAKE que soroterapia combate o coronavírus;Fato ou Fake;;Saúde;Indefinido;Texto, Vídeo;Redes Sociais;
16/03/2020;Embalagem de Glade prova que novo coronavírus (Covid-19) já existia em 2018 #boato;Boatos.org;;Outros;Indefinido;Texto, Vídeo;Redes Sociais;
16/03/2020;Força Aérea Italiana se apresenta em praia na Itália ao som de Pavarotti em 2020 #boato;Boatos.org;;Segurança;Indefinido;Video;Redes Sociais;
17/03/2020;Água fervida com alho cura o coronavírus.;Agência Lupa;Curas;Outros;Cura;Texto;Redes sociais, WhatsApp;Facebook, WhatsApp
17/03/2020;Igreja Universal do Reino de Deus está vendendo 500 frascos “abençoados” de desinfetantes para as mãos;Agência Lupa;Outros;Religião;Desinfetante;Imagem;Redes sociais, WhatsApp;Facebook, WhatsApp
17/03/2020;Israel já desenvolveu uma vacina contra o COVID-19;Agência Lupa;Curas;Ciência;Vacina;Texto;Meio de comunicação;Website Jornal 21 Brasil
17/03/2020;Cantora brasileira Preta Gil cantou em um bloco de carnaval quando já estava infectada com coronavírus.;Agência Lupa;Contágio;Entretenimento;Contágio;Texto, Imagem;Redes sociais;Facebook
17/03/2020;"Evite beber água fria durante a pandemia; exposição à luz solar é benéfica";Agência Lupa;Curas;Saúde;Indefinido;Texto;Redes sociais, WhatsApp;Facebook, WhatsApp
17/03/2020;Fiocruz compartilha alerta em que afirma que coronavírus é maior que outros vírus e que morre em temperaturas como 26ºC ou 27ºC, entre outros;Estadão Verifica;Outros;Outros;Indefinido;Texto;WhatsApp;WhatsApp
17/03/2020;Uma corrente de mensagens traz informações sobre as características do novo coronavírus e da doença.;Estadão Verifica;Características do vírus;Outros;Indefinido;Texto;Redes sociais;Whatsapp
17/03/2020;Áudio enviado por WhatsApp exagera o número de casos no hospital Prevent Senior;Estadão Verifica;Contágio;Outros;Contágio;Áudio;Redes sociais;Whatsapp
17/03/2020;Historiador católico falou sobre o coronavírus no livro Os Olhos da Escuridão em 1981 #boato;Boatos.org;;Cultura;Indefinido;Texto, Vídeo;Redes Sociais;
18/03/2020;Vítimas de coronavírus são enterradas nesta manhã na quarta-feira na Itália. “Descanse em paz”.;Agência Lupa;Outros;Outros;Mortes;Imagem;Redes sociais;Facebook
18/03/2020;Rodrigo Maia, presidente da Câmara dos Deputados, votou uma lei que proíbe o presidente de fechar fronteiras.;Agência Lupa;Autoridades;Política;Indefinido;Texto;Redes sociais;Facebook
18/03/2020;Suposto áudio do CEO de um grande hospital de São Paulo, Brasil, afirma que número de mortes por coronavírus é maior do que o anunciado oficialmente.;Estadão Verifica;Autoridades;Saúde;Mortes;Áudio;WhatsApp;WhatsApp
18/03/2020;Prefeitura de São Paulo agenda testes de coronavírus por telefone.;Estadão Verifica;;Política;Teste;Texto;WhatsApp;WhatsApp
18/03/2020;O número 156 fornece turnos para testes de coronavírus em casa, no município de São Paulo, Brasil;Estadão Verifica;Outros;Outros;Teste;Texto;Redes sociais;Facebook
18/03/2020;É #FAKE áudio que diz que Einstein tem 700 internados com coronavírus e Sírio, o dobro disso;Fato ou Fake;;Saúde;Indefinido;Áudio;Redes Sociais;Whatsapp
18/03/2020;Itália decidiu não prestar mais atendimento a idosos com mais de 80 anos que tiverem coronavírus #boato;Boatos.org;;Saúde;Contágio;Texto;Facebook, Whatsapp;
18/03/2020;Nota oficial do governo de São Paulo dá dicas sobre Covid-19 (coronavírus) e fala sobre fechamento de fronteiras #boato;Boatos.org;;Política;Isolamento Social;Texto;Web;
18/03/2020;CIEVS municipal e estadual estão fazendo teste de coronavírus (Covid-19) em casa #boato;Boatos.org;;Saúde;Teste;Texto;Web;
18/03/2020;Centro Tupyara está aplicando vacina espiritual contra o novo coronavírus #boato;Boatos.org;;Religião;Vacina;Texto;Redes Sociais;
19/03/2020;Netflix oferece acesso gratuito a qualquer pessoa no Brasil durante a crise do coronavírus.;Agência Lupa;Outros;Entretenimento;Indefinido;Texto;WhatsApp;WhatsApp
19/03/2020;Petrobras (maior companhia de petróleo do Brasil) encerra suas refinarias a partir de 24 de março.;Agência Lupa;Outros;Economia;Indefinido;Texto;WhatsApp;WhatsApp
19/03/2020;Uber suspenderá as operações por 10 dias no Brasil devido à pandemia.;Agência Lupa;Outros;Transporte;Isolamento Social;Imagem;WhatsApp;WhatsApp
19/03/2020;Homem afirma que seu cão foi vacinado contra o coronavírus, portanto o SARS-Cov-2 não é realmente um vírus novo.;Agência Lupa;Teoria da conspiração;Outros;Vacina;Vídeo;Redes sociais;Facebook
19/03/2020;Estudo comprova que teorias da conspiração, como criação do coronavírus pela China para fins econômicos, estão erradas.;Estadão Verifica;Teoria da conspiração;Ciência;Indefinido;Texto;Redes sociais;Redes sociais
19/03/2020;Usar uma mão não dominante para abrir portas é uma maneira de impedir o coronavírus.;Estadão Verifica;Contágio;Outros;Contágio;Texto;Redes sociais;Facebook
19/03/2020;É #FAKE mensagem que indica números de Centros de Informações Estratégicas em Vigilância em Saúde para acionar exame de coronavírus em casa;Fato ou Fake;;Outros;Indefinido;Texto;Redes Sociais;Facebook
19/03/2020;É #FAKE que vacina canina mostrada em vídeo se destine ao novo coronavírus humano;Fato ou Fake;;Saúde;Vacina;Vídeo;Redes Sociais;
19/03/2020;É #FAKE que foto de dezenas de caixões enfileirados seja de vítimas do coronavírus na Itália;Fato ou Fake;;Outros;Mortes;Imagem, Texto;Redes Sociais;
19/03/2020;Assaí atacadista está doando álcool gel e cestas básicas contra o novo coronavírus #boato;Boatos.org;;Social;Álcool em gel;Texto;Whatsapp;
19/03/2020;Vanguard já fabricava vacina para Covid-19 (coronavírus) e isso prova armação dos chineses #boato;Boatos.org;;Saúde;Vacina;Texto, Vídeo;Redes Sociais;
20/03/2020;Atacadão, uma rede de supermercados no Brasil, está distribuindo mercadorias gratuitamente. Você pode obtê-los se deixar um comentário na postagem.;Agência Lupa;Outros;Outros;Indefinido;Imagem, Texto;Redes sociais;Facebook
20/03/2020;Ladrões se disfarçam de agentes de saúde para invadir e roubar prédios em Belo Horizonte e Goiânia.;Agência Lupa;Outros;Segurança;Indefinido;Texto, Imagem;Redes sociais, WhatsApp;Facebook, WhatsApp
20/03/2020;Fotos mostram a jornalista Maju Coutinho andando na praia do Leblon com o namorado, contrariando os decretos para ficar em casa durante a pandemia.;Agência Lupa;Outros;Outros;Isolamento Social;Imagem;Redes sociais;Facebook
20/03/2020;A empresa Ambev distribuirá desinfetante para as mãos da população.;Estadão Verifica;Outros;Outros;Contágio;Texto;WhatsApp;WhatsApp
20/03/2020;Aposentadoria de idosos que saem às ruas em quarentena será cortada.;Estadão Verifica;Autoridades;Economia;Isolamento Social;Texto, Imagem;WhatsApp;WhatsApp
20/03/2020;É #FAKE que banho muito gelado ou muito quente combate o novo coronavírus;Fato ou Fake;;Outros;Indefinido;Texto;Redes Sociais;
20/03/2020;Médicos chineses que chegaram à Itália divulgam dicas sobre o novo coronavírus #boato;Boatos.org;;Saúde;Contágio;Texto;Redes Sociais;
20/03/2020;Medida Provisória 922 prevê suspensão de aposentadoria para idoso que sair na rua #boato;Boatos.org;;Justiça;Isolamento Social;Imagem, Texto;Web;
20/03/2020;Supermercados BH anuncia que vai fechar (entrar em quarentena) por causa do novo coronavírus #boato;Boatos.org;;Economia;Isolamento Social;Imagem;Redes Sociais;
21/03/2020;Governo brasileiro iniciou o processo de registro do auxílio financeiro em razão do coronavírus pelo WhatsApp;Aos Fatos;Autoridades;Social;Indefinido;Texto;WhatsApp;WhatsApp
21/03/2020;A auto-hemoterapia cura o COVID-19;Aos Fatos;Curas;Saúde;Cura;Vídeo;Redes sociais, YouTube;Facebook, YouTube
21/03/2020;Governo liberou o auxílio cidadão, saque do FGTS, suspensão de contas de água e luz e agendamento de vacina contra Covid-19 no WhatsApp #boato;Boatos.org;;Social;Indefinido;Texto;Whatsapp;
22/03/2020;Médico brasileiro Drauzio Varella afirma ser desnecessário isolamento social;Aos Fatos;Outros;Saúde;Isolamento Social;Vídeo;Redes Sociais;Facebook, Twitter
22/03/2020;Após pandemia de coronavírus, presidente chinês disse que é hora da China liderar o mundo;Aos Fatos;Autoridades;Política;Indefinido;Texto, Vídeo;Redes sociais, WhatsApp;Facebook
22/03/2020;"Drauzio Varella, um dos médicos mais famosos do Brasil, declarou em um vídeo em 22/03/20: Não há crise de coronavírus; isto é apenas um resfriado forte. Não há motivo para mudar sua rotina, a menos que você esteja infectado.";Agência Lupa;Outros;Saúde;Indefinido;Vídeo;Redes sociais;Ricardo Salles, Brazilian Minister for the Environment, and Flavio Bolsonaro, Brazilian Senator and son of Jair Bolsonaro
22/03/2020;"Médico Drauzio Varella diz em vídeo para as pessoas ""não entrarem em pânico"" sobre a COVID-19.";Estadão Verifica;Autoridades;Saúde;Indefinido;Vídeo;Redes sociais;Twitter post
22/03/2020;É #FAKE que estudo concluiu que fumar maconha torna pessoa imune ao novo coronavírus;Fato ou Fake;;Ciência;Indefinido;Texto;Redes Sociais;
22/03/2020;É #FAKE que funcionários do Guanabara estejam com coronavírus e trabalhando normalmente;Fato ou Fake;;Saúde;Indefinido;Texto;Redes Sociais;Twitter
22/03/2020;É #FAKE que apresentadora Maria Júlia Coutinho tenha ido à praia mesmo com recomendação de autoridades devido ao coronavírus;Fato ou Fake;;Outros;Isolamento Social;Imagem;Redes Sociais;
22/03/2020;Lula, Bolsonaro e Rodrigo Maia estão infectados com coronavírus #boato;Boatos.org;;Política;Contágio;Texto;Redes Sociais;
22/03/2020;Mandetta diz, em áudio, que final de abril será o topo da epidemia do coronavírus #boato;Boatos.org;;Política;Cura;Áudio;Whatsapp;
22/03/2020;Alexandre Garcia escreve texto sobre “a grande encenação chinesa” do coronavírus #boato;Boatos.org;;Outros;Indefinido;Texto;Redes Sociais;
22/03/2020;Foto mostra caixões de vítimas do coronavírus enfileirados em Bergamo (Itália) #boato;Boatos.org;;Outros;Morte;Imagem, Texto;Redes Sociais;
23/03/2020;"A China lançou um filme chamado ""Coronavirus"" em 2013";Aos Fatos;Teoria da conspiração;Cultura;Indefinido;Imagem;Redes sociais;Facebook
23/03/2020;O H1N1 foi mais letal que o COVID-19 no Brasil;Aos Fatos;Outros;Saúde;Mortes;Texto;Redes sociais;Facebook
23/03/2020;Governo brasileiro aplicará taxas a todos que forem pegos na rua após 24 de março;Aos Fatos;Autoridades;Política;Isolamento Social;Texto;Redes sociais;Facebook
23/03/2020;Foto mostra baile funk em São Paulo durante o coronavírus, apesar das restrições de reuniões de massa devido ao COVID-19.;Agência Lupa;Outros;Entretenimento;Isolamento Social;Imagem;Redes sociais;Facebook
23/03/2020;Receita para álcool caseiro: misture 3 partes de etanol com 1 parte de água.;Agência Lupa;Curas;Outros;Álcool;Texto;WhatsApp;WhatsApp
23/03/2020;Uma vacina que cura o COVID-19 em três horas será lançada no próximo domingo, de acordo com o presidente Donald Trump. A Roche já produziu milhões dessas vacinas.;Agência Lupa;Curas;Ciência;Vacina;Texto, Imagem;Redes sociais;Facebook
23/03/2020;É #FAKE que imagem mostre vacina contra o coronavírus feita por cientistas dos EUA;Fato ou Fake;;Ciência;Vacina;Imagem;Redes Sociais;Whatsapp
23/03/2020;É #FAKE que governo russo soltou leões nas ruas para amedrontar a população e fazê-la ficar em casa por conta do coronavírus;Fato ou Fake;;Segurança;Indefinido;Imagem;Redes Sociais;
23/03/2020;É #FAKE mensagem sobre cadastramento para receber auxílio cidadão por causa do coronavírus;Fato ou Fake;;Social;Indefinido;Texto;Redes Sociais;
23/03/2020;iFood está dando cupom de R$ 100 para quem compartilhar link no WhatsApp #boato;Boatos.org;;Economia;Indefinido;Texto;Whatsapp;
23/03/2020;Toffoli, Maia e Alcolumbre criaram a quarentena em um pacto para derrubar Bolsonaro #boato;Boatos.org;;Política;Isolamento Social;Texto;Redes Sociais;
23/03/2020;Decreto Nº 40.538 proíbe circulação de idosos com mais 60 anos no Distrito Federal #boato;Boatos.org;;Justiça;Isolamento Social;Texto;Web;
24/03/2020;232 crianças morreram do COVID-19 na Itália em um dia;Aos Fatos;Contágio;Saúde;Situação da Pandemia;Texto;Redes sociais;Facebook
24/03/2020;Israel está combatendo o coronavírus sem isolamento social e pouco impacto econômico;Aos Fatos;Contágio;Saúde;Isolamento Social;Texto;Redes sociais;Facebook
24/03/2020;Foto mostra da praia de Copacabana em 22/3/20 cheia de banhistas apesar de o Rio de Janeiro estar em quarentena devido ao COVID-19.;Agência Lupa;Outros;Entretenimento;Isolamento Social;Imagem;Redes sociais;Facebook
24/03/2020;É #FAKE que imagens mostrem rainha Elizabeth II com máscaras da mesma cor da roupa no meio da pandemia de coronavírus;Fato ou Fake;;Outros;Máscara;Imagem;Redes Sociais;
24/03/2020;É #FAKE que vídeo mostre presidente da China falando sobre coronavírus, ameaças ao Ocidente e 3ª Guerra;Fato ou Fake;;Política;Indefinido;Vídeo;Redes Sociais;
24/03/2020;É #FAKE print de reportagem que diz que criança foi batizada de Alquingel no ES em meio à pandemia do coronavírus;Fato ou Fake;;Outros;Indefinido;Texto;Redes Sociais;Twitter
24/03/2020;É #FAKE que lei proíbe sair de casa por mais de um mês e prevê multa ou prisão por descumprimento em razão do coronavírus;Fato ou Fake;;Justiça;Isolamento Social;Imagem;Redes Sociais;
24/03/2020;É #FAKE que ozonioterapia mata o novo coronavírus;Fato ou Fake;;Saúde;Indefinido;Texto;Redes Sociais;
24/03/2020;Governo cria lei que proíbe saída de pessoas na rua até 30/04, prevê multa de R$ 1.443 e prisão por 30 dias #boato;Boatos.org;;Política;Indefinido;Imagem, Texto;Web;
24/03/2020;Vacinação contra gripe em idosos será por ordem alfabética em todo Brasil #boato;Boatos.org;;Saúde;Vacina;Texto;Redes Sociais;
25/03/2020;Governo federal liberou saques de um fundo previdenciário para auxiliar famílias em meio à pandemia do novo coronavírus;Aos Fatos;Autoridades;Social;Indefinido;Texto;WhatsApp;WhatsApp
